model,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_proxy_time,std_wall_clock_proxy_time,seed,scenario,parameter_count,train_steps,wall_clock_training_time,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds
ppo_ltc,0.998502512772878,0.0009588467681810029,0.6822916666666666,0.06608634135650791,64.0,0.0,-55.541909176887344,11.070474965936986,0.0024089821044981363,3.989040076372221e-05,0.0,0.0,0.11981807909129809,0.0280317475484321,64.0,0.0,0.3177083333333333,0.06608634135650791,64.0,0.0,7,stationary,44809,1536,10.179569887928665,0.17689947384254387,0.003378083613420262
ppo_ltc,0.9991546471913656,0.0004900011563730798,0.6927083333333334,0.07950175792955078,64.0,0.0,-56.08241158436675,12.477337814793337,0.002196462682756343,2.2053407049240262e-05,0.0,0.0,0.12418501517580201,0.03213833524052028,64.0,0.0,0.3072916666666667,0.07950175792955076,64.0,0.0,19,stationary,44809,1536,9.315397909027524,0.1597771691546465,0.002065383819638602
ppo_ltc,0.9980239868164062,0.0021903132973560857,0.7682291666666666,0.0718391365840298,64.0,0.0,-69.2822024593673,11.226742402279323,0.002195285796005919,3.5089740482740794e-05,0.0,0.0,0.08546125070036699,0.0256040372566396,64.0,0.0,0.23177083333333334,0.0718391365840298,64.0,0.0,23,stationary,44809,1536,9.236314543057233,0.15875483333365992,0.002339815729392651
ppo_ltc,0.9978787104288737,0.001128889467798782,0.6614583333333334,0.05155986946151909,64.0,0.0,-51.46902261885506,7.1520298985783635,0.002396924091347804,0.00014219854287624424,0.0,0.0,0.12877197245446345,0.013481601535698905,64.0,0.0,0.3385416666666667,0.051559869461519095,64.0,0.0,41,stationary,44809,1536,9.02310148999095,0.17738697982470816,0.012625345741514478
ppo_ltc,0.998669813076655,0.0011198874664014166,0.7135416666666666,0.04199092577238828,64.0,0.0,-60.175070641624444,8.230584253518252,0.0022491210262766495,2.8522159293172717e-05,0.0,0.0,0.10904921975452453,0.022051461844629233,64.0,0.0,0.2864583333333333,0.04199092577238828,64.0,0.0,89,stationary,44809,1536,9.268113755970262,0.1641999669955112,0.0024128609063000113
ppo_lfm,0.9982182383537292,0.0013839163076296637,0.6510416666666666,0.06293253111247174,64.0,0.0,-47.76945156026634,11.338446106299584,0.0019991709720367603,4.5007989475690196e-05,0.5977997879187266,0.07309096791579626,0.1442589988388742,0.030940124244547822,64.0,0.0,0.3489583333333333,0.06293253111247173,64.0,0.0,7,stationary,78409,1536,8.602999095106497,0.15071166599712646,0.003521003852229183
ppo_lfm,0.9980318744977316,0.0024491547705731884,0.7265625,0.04920428028044579,64.0,0.0,-61.36024187089257,8.665571589577226,0.0020399180242141788,5.479907289091647e-05,0.0,0.0,0.10625796493453284,0.02097889206681616,64.0,0.0,0.2734375,0.04920428028044579,64.0,0.0,19,stationary,78409,1536,8.908938031061552,0.15377136568228403,0.004290306736747174
ppo_lfm,0.9987200101216634,0.0008252670258255524,0.640625,0.05487319662944135,64.0,0.0,-48.797666242842894,9.339728143818316,0.0019629475885570478,5.609571860934746e-05,0.34361403435468674,0.11143403464569339,0.134769558479699,0.02734393359281301,64.0,0.0,0.359375,0.05487319662944135,64.0,0.0,23,stationary,78409,1536,8.859762856038287,0.14795013513260832,0.004102957833115397
ppo_lfm,0.9988831381003062,0.001503103780104477,0.671875,0.1137517170200081,64.0,0.0,-52.6226957578833,18.80576091398251,0.001916202824456074,1.4732870062852637e-05,0.0,0.0,0.12989689029442766,0.048726247825269846,64.0,0.0,0.328125,0.1137517170200081,64.0,0.0,41,stationary,78409,1536,8.666753054014407,0.1444298411758306,0.0012081611792588453
ppo_lfm,0.9968709846337637,0.0023061010235630158,0.75,0.05776321097088238,64.0,0.0,-65.64889865815641,10.27714527306924,0.001941772098992563,2.5531197736922698e-05,0.0,0.0,0.09885418663422267,0.027303855930134565,64.0,0.0,0.25,0.05776321097088238,64.0,0.0,89,stationary,78409,1536,8.563490197062492,0.1463258831257311,0.0019164978261601011
ppo_ltc_lfm,0.9983731011549631,0.0007661700484405554,0.6223958333333334,0.08239214593518945,64.0,0.0,-45.173329407543264,14.590160332447288,0.0032345317704312038,0.00012776151830633256,0.0,0.0,0.14626642083749175,0.040742099528513515,64.0,0.0,0.3776041666666667,0.08239214593518945,64.0,0.0,7,stationary,78281,1536,13.004493092070334,0.23510202965311086,0.010410901203126072
ppo_ltc_lfm,0.9973739981651306,0.0021438823488586956,0.640625,0.07967217989988726,64.0,0.0,-48.19260804398607,14.59757857432893,0.003309089954200317,0.00010576077620834013,0.0,0.0,0.14354737914012125,0.04286247186660167,64.0,0.0,0.359375,0.07967217989988726,64.0,0.0,19,stationary,78281,1536,12.938841188093647,0.2392376773447419,0.008871609954385809
ppo_ltc_lfm,0.9973927835623423,0.0022016038675806097,0.6354166666666666,0.07529600153542167,64.0,0.0,-47.43327974678639,15.19218217466653,0.0033051214343989463,6.243928942292392e-05,0.0,0.0,0.13676541294747344,0.04245846202453904,64.0,0.0,0.3645833333333333,0.07529600153542167,64.0,0.0,23,stationary,78281,1536,12.886007832945324,0.2402484261741241,0.0050605817988240015
ppo_ltc_lfm,0.9972650210062662,0.002760727667367169,0.6354166666666666,0.08001193487363134,64.0,0.0,-45.97064228743937,14.08804774319839,0.0036208183352452275,0.0002347665927071128,0.0,0.0,0.14654920063912868,0.039150772127056234,64.0,0.0,0.3645833333333333,0.08001193487363134,64.0,0.0,41,stationary,78281,1536,13.455658619990572,0.2631186128516371,0.017171023799769158
