comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F5_learning_check:ppo_gru:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_gru(trained),ppo_gru(untrained),12,-67.805427,-68.506436,0.701009,-1.192744,2.503432,0.95,0.487305,exact_sign_flip,1.0,False,0.083333,negligible,no_detectable_difference,True,"ppo_gru(trained) vs ppo_gru(untrained) on bursty_irregular: no detectable difference (mean difference 0.701, 95% CI [-1.193, 2.503], p=0.487 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_ltc(trained),ppo_ltc(untrained),12,-69.383842,-69.722682,0.33884,-2.601247,2.908803,0.95,0.765625,exact_sign_flip,1.0,False,0.104167,negligible,no_detectable_difference,True,"ppo_ltc(trained) vs ppo_ltc(untrained) on bursty_irregular: no detectable difference (mean difference 0.339, 95% CI [-2.601, 2.909], p=0.766 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc_cfc:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_ltc_cfc(trained),ppo_ltc_cfc(untrained),12,-68.606837,-70.996392,2.389555,-0.283603,5.129065,0.95,0.134766,exact_sign_flip,1.0,False,0.333333,medium,no_detectable_difference,True,"ppo_ltc_cfc(trained) vs ppo_ltc_cfc(untrained) on bursty_irregular: no detectable difference (mean difference 2.390, 95% CI [-0.284, 5.129], p=0.135 (exact_sign_flip), n=12)."
F5_learning_check:ppo_mlp:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_mlp(trained),ppo_mlp(untrained),12,-67.158596,-69.593432,2.434836,0.294457,4.343306,0.95,0.052246,exact_sign_flip,1.0,False,0.472222,medium,favours_a,False,"ppo_mlp(trained) scored 2.435 higher than ppo_mlp(untrained) on bursty_irregular (95% CI [0.294, 4.343], p=0.052 (exact_sign_flip), n=12, Cliff's delta 0.472 [medium])."
F5_learning_check:ppo_transformer:trained_vs_untrained:bursty_irregular,F5_learning_check,bursty_irregular,ppo_transformer(trained),ppo_transformer(untrained),12,-68.582513,-70.21944,1.636927,-1.522191,5.568526,0.95,0.459961,exact_sign_flip,1.0,False,0.138889,negligible,no_detectable_difference,True,"ppo_transformer(trained) vs ppo_transformer(untrained) on bursty_irregular: no detectable difference (mean difference 1.637, 95% CI [-1.522, 5.569], p=0.460 (exact_sign_flip), n=12)."
F5_learning_check:ppo_cfc:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_cfc(trained),ppo_cfc(untrained),12,-87.870247,-88.197295,0.327048,-3.119628,3.711583,0.95,0.858398,exact_sign_flip,1.0,False,0.152778,small,no_detectable_difference,True,"ppo_cfc(trained) vs ppo_cfc(untrained) on interference_heavy: no detectable difference (mean difference 0.327, 95% CI [-3.120, 3.712], p=0.858 (exact_sign_flip), n=12)."
F5_learning_check:ppo_cfc_dtblind:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_cfc_dtblind(trained),ppo_cfc_dtblind(untrained),12,-88.956494,-87.845643,-1.110851,-3.904299,1.853618,0.95,0.480469,exact_sign_flip,1.0,False,-0.229167,small,no_detectable_difference,True,"ppo_cfc_dtblind(trained) vs ppo_cfc_dtblind(untrained) on interference_heavy: no detectable difference (mean difference -1.111, 95% CI [-3.904, 1.854], p=0.480 (exact_sign_flip), n=12)."
F5_learning_check:ppo_gru:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_gru(trained),ppo_gru(untrained),12,-87.640604,-88.042654,0.402049,-3.088623,3.908316,0.95,0.834961,exact_sign_flip,1.0,False,0.111111,negligible,no_detectable_difference,True,"ppo_gru(trained) vs ppo_gru(untrained) on interference_heavy: no detectable difference (mean difference 0.402, 95% CI [-3.089, 3.908], p=0.835 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_ltc(trained),ppo_ltc(untrained),12,-88.128323,-88.84657,0.718247,-1.340753,2.434166,0.95,0.53125,exact_sign_flip,1.0,False,0.048611,negligible,no_detectable_difference,True,"ppo_ltc(trained) vs ppo_ltc(untrained) on interference_heavy: no detectable difference (mean difference 0.718, 95% CI [-1.341, 2.434], p=0.531 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc_cfc:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_ltc_cfc(trained),ppo_ltc_cfc(untrained),12,-89.48131,-87.602019,-1.87929,-4.538459,0.641382,0.95,0.191406,exact_sign_flip,1.0,False,-0.236111,small,no_detectable_difference,True,"ppo_ltc_cfc(trained) vs ppo_ltc_cfc(untrained) on interference_heavy: no detectable difference (mean difference -1.879, 95% CI [-4.538, 0.641], p=0.191 (exact_sign_flip), n=12)."
