comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F7_vs_greedy_baseline:ppo_ltc_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_ltc,greedy_heuristic,12,-49.658275,21.077417,-70.735692,-73.506818,-67.579553,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_ltc scored 70.736 lower than greedy_heuristic on irregular_dt (95% CI [-73.507, -67.580], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F7_vs_greedy_baseline:ppo_mlp_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_mlp,greedy_heuristic,12,-26.667245,21.077417,-47.744662,-51.657652,-43.897923,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_mlp scored 47.745 lower than greedy_heuristic on irregular_dt (95% CI [-51.658, -43.898], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F7_vs_greedy_baseline:ppo_transformer_vs_greedy_heuristic:irregular_dt,F7_vs_greedy_baseline,irregular_dt,ppo_transformer,greedy_heuristic,12,-34.924021,21.077417,-56.001438,-60.865496,-52.365653,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_transformer scored 56.001 lower than greedy_heuristic on irregular_dt (95% CI [-60.865, -52.366], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F8_replication_learning_check:ppo_cfc:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_cfc(trained),ppo_cfc(untrained),12,-24.977287,-49.493862,24.516575,20.145637,29.832273,0.95,0.000488,exact_sign_flip,0.003418,True,1.0,large,favours_a,False,"ppo_cfc(trained) scored 24.517 higher than ppo_cfc(untrained) on stationary (95% CI [20.146, 29.832], p=0.000 (exact_sign_flip), n=12, Cliff's delta 1.000 [large])."
F8_replication_learning_check:ppo_cfc_dtblind:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_cfc_dtblind(trained),ppo_cfc_dtblind(untrained),12,-30.336481,-50.43476,20.09828,16.143175,23.841644,0.95,0.000488,exact_sign_flip,0.003418,True,0.986111,large,favours_a,False,"ppo_cfc_dtblind(trained) scored 20.098 higher than ppo_cfc_dtblind(untrained) on stationary (95% CI [16.143, 23.842], p=0.000 (exact_sign_flip), n=12, Cliff's delta 0.986 [large])."
F8_replication_learning_check:ppo_gru:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_gru(trained),ppo_gru(untrained),12,-33.712423,-49.107929,15.395506,10.702651,20.137864,0.95,0.000977,exact_sign_flip,0.003418,True,0.805556,large,favours_a,False,"ppo_gru(trained) scored 15.396 higher than ppo_gru(untrained) on stationary (95% CI [10.703, 20.138], p=0.001 (exact_sign_flip), n=12, Cliff's delta 0.806 [large])."
F8_replication_learning_check:ppo_ltc:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_ltc(trained),ppo_ltc(untrained),12,-52.046566,-50.577064,-1.469502,-3.840201,0.714874,0.95,0.259766,exact_sign_flip,0.417969,False,-0.180556,small,no_detectable_difference,True,"ppo_ltc(trained) vs ppo_ltc(untrained) on stationary: no detectable difference (mean difference -1.470, 95% CI [-3.840, 0.715], p=0.260 (exact_sign_flip), n=12)."
F8_replication_learning_check:ppo_ltc_cfc:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_ltc_cfc(trained),ppo_ltc_cfc(untrained),12,-51.450616,-49.807062,-1.643554,-3.897055,0.740687,0.95,0.208984,exact_sign_flip,0.417969,False,-0.333333,medium,no_detectable_difference,True,"ppo_ltc_cfc(trained) vs ppo_ltc_cfc(untrained) on stationary: no detectable difference (mean difference -1.644, 95% CI [-3.897, 0.741], p=0.209 (exact_sign_flip), n=12)."
F8_replication_learning_check:ppo_mlp:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_mlp(trained),ppo_mlp(untrained),12,-26.275231,-50.023883,23.748652,20.41449,27.054292,0.95,0.000488,exact_sign_flip,0.003418,True,1.0,large,favours_a,False,"ppo_mlp(trained) scored 23.749 higher than ppo_mlp(untrained) on stationary (95% CI [20.414, 27.054], p=0.000 (exact_sign_flip), n=12, Cliff's delta 1.000 [large])."
F8_replication_learning_check:ppo_transformer:trained_vs_untrained:stationary,F8_replication_learning_check,stationary,ppo_transformer(trained),ppo_transformer(untrained),12,-31.614015,-52.229704,20.61569,15.349352,25.472591,0.95,0.000488,exact_sign_flip,0.003418,True,1.0,large,favours_a,False,"ppo_transformer(trained) scored 20.616 higher than ppo_transformer(untrained) on stationary (95% CI [15.349, 25.473], p=0.000 (exact_sign_flip), n=12, Cliff's delta 1.000 [large])."
F9_replication_liquid_vs_conventional:ppo_cfc_vs_ppo_gru:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_cfc,ppo_gru,12,-24.977287,-33.712423,8.735136,3.980983,14.29933,0.95,0.001465,exact_sign_flip,0.005859,True,0.666667,large,favours_a,False,"ppo_cfc scored 8.735 higher than ppo_gru on stationary (95% CI [3.981, 14.299], p=0.001 (exact_sign_flip), n=12, Cliff's delta 0.667 [large])."
F9_replication_liquid_vs_conventional:ppo_cfc_vs_ppo_mlp:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_cfc,ppo_mlp,12,-24.977287,-26.275231,1.297944,-2.714934,5.190875,0.95,0.540527,exact_sign_flip,0.540527,False,0.111111,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_mlp on stationary: no detectable difference (mean difference 1.298, 95% CI [-2.715, 5.191], p=0.541 (exact_sign_flip), n=12)."
F9_replication_liquid_vs_conventional:ppo_cfc_vs_ppo_transformer:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_cfc,ppo_transformer,12,-24.977287,-31.614015,6.636728,2.082064,11.322581,0.95,0.023438,exact_sign_flip,0.046875,True,0.444444,medium,favours_a,False,"ppo_cfc scored 6.637 higher than ppo_transformer on stationary (95% CI [2.082, 11.323], p=0.023 (exact_sign_flip), n=12, Cliff's delta 0.444 [medium])."
F9_replication_liquid_vs_conventional:ppo_ltc_cfc_vs_ppo_gru:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_ltc_cfc,ppo_gru,12,-51.450616,-33.712423,-17.738193,-23.234325,-10.964969,0.95,0.001465,exact_sign_flip,0.005859,True,-0.833333,large,favours_b,False,"ppo_ltc_cfc scored 17.738 lower than ppo_gru on stationary (95% CI [-23.234, -10.965], p=0.001 (exact_sign_flip), n=12, Cliff's delta -0.833 [large])."
F9_replication_liquid_vs_conventional:ppo_ltc_cfc_vs_ppo_mlp:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_ltc_cfc,ppo_mlp,12,-51.450616,-26.275231,-25.175385,-29.114086,-21.484526,0.95,0.000488,exact_sign_flip,0.004395,True,-1.0,large,favours_b,False,"ppo_ltc_cfc scored 25.175 lower than ppo_mlp on stationary (95% CI [-29.114, -21.485], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F9_replication_liquid_vs_conventional:ppo_ltc_cfc_vs_ppo_transformer:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_ltc_cfc,ppo_transformer,12,-51.450616,-31.614015,-19.836601,-25.151686,-14.017315,0.95,0.000488,exact_sign_flip,0.004395,True,-1.0,large,favours_b,False,"ppo_ltc_cfc scored 19.837 lower than ppo_transformer on stationary (95% CI [-25.152, -14.017], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F9_replication_liquid_vs_conventional:ppo_ltc_vs_ppo_gru:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_ltc,ppo_gru,12,-52.046566,-33.712423,-18.334143,-22.669415,-13.291003,0.95,0.000977,exact_sign_flip,0.004883,True,-0.840278,large,favours_b,False,"ppo_ltc scored 18.334 lower than ppo_gru on stationary (95% CI [-22.669, -13.291], p=0.001 (exact_sign_flip), n=12, Cliff's delta -0.840 [large])."
F9_replication_liquid_vs_conventional:ppo_ltc_vs_ppo_mlp:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_ltc,ppo_mlp,12,-52.046566,-26.275231,-25.771335,-30.069871,-21.619943,0.95,0.000488,exact_sign_flip,0.004395,True,-1.0,large,favours_b,False,"ppo_ltc scored 25.771 lower than ppo_mlp on stationary (95% CI [-30.070, -21.620], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F9_replication_liquid_vs_conventional:ppo_ltc_vs_ppo_transformer:stationary,F9_replication_liquid_vs_conventional,stationary,ppo_ltc,ppo_transformer,12,-52.046566,-31.614015,-20.432551,-24.993489,-15.411214,0.95,0.000488,exact_sign_flip,0.004395,True,-1.0,large,favours_b,False,"ppo_ltc scored 20.433 lower than ppo_transformer on stationary (95% CI [-24.993, -15.411], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
